

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
092.585  001.844  000.291: require('luasnip.nodes.snippet')
092.595  001.884  000.040: require('luasnip.nodes.duplicate')
092.597  001.935  000.051: require('luasnip.loaders.snippet_cache')
092.607  003.503  000.131: require('luasnip/loaders/from_vscode')
095.849  000.156  000.156: require('cmp_buffer.timer')
095.860  000.355  000.199: require('cmp_buffer.buffer')
095.866  000.466  000.111: require('cmp_buffer.source')
095.868  001.090  000.623: require('cmp_buffer')
095.909  001.271  000.181: sourcing /home/met/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
096.734  000.545  000.545: require('cmp_path')
096.765  000.626  000.080: sourcing /home/met/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
097.771  000.761  000.761: require('cmp_cmdline')
097.815  000.846  000.085: sourcing /home/met/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
098.786  000.680  000.680: require('cmp_luasnip')
099.002  000.946  000.266: sourcing /home/met/.local/share/nvim/lazy/cmp_luasnip/after/plugin/cmp_luasnip.lua
099.964  000.459  000.459: require('cmp_nvim_lua')
100.035  000.598  000.140: sourcing /home/met/.local/share/nvim/lazy/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
100.544  000.060  000.060: sourcing /home/met/.local/share/nvim/lazy/lsp-zero.nvim/plugin/lsp-zero.lua
100.585  019.466  005.502: require('lsp-zero')
100.803  000.185  000.185: require('lsp-zero.server')
101.177  000.284  000.284: require('lspconfig.util')
101.248  000.068  000.068: require('lspconfig.async')
101.251  000.445  000.093: require('lspconfig.configs')
101.522  000.140  000.140: require('mason-core.log')
101.639  000.115  000.115: require('mason-lspconfig.settings')
101.645  000.348  000.093: require('mason-lspconfig')
101.805  000.061  000.061: require('mason-lspconfig.notify')
101.810  000.125  000.064: require('mason-lspconfig.lspconfig_hook')
102.066  000.113  000.113: require('mason-core.functional.table')
102.127  000.316  000.203: require('mason-lspconfig.mappings.server')
102.270  000.061  000.061: require('mason-core.EventEmitter')
102.329  000.058  000.058: require('mason-core.optional')
102.520  000.131  000.131: require('mason-core.async')
102.575  000.052  000.052: require('mason-core.async.uv')
102.583  000.253  000.071: require('mason-core.fs')
102.611  000.482  000.110: require('mason-registry')
102.664  000.049  000.049: require('mason-lspconfig.server_config_extensions')
102.734  000.069  000.069: require('lspconfig.server_configurations.omnisharp')
103.248  000.061  000.061: require('mason-core.functional.number')
103.279  000.176  000.115: require('mason-lspconfig.api.command')
103.496  000.056  000.056: require('lspconfig')
103.631  000.131  000.131: require('lspconfig.server_configurations.rust_analyzer')
105.495  000.189  000.189: require('lspconfig.manager')
105.708  000.089  000.089: require('lspconfig.server_configurations.lua_ls')
108.376  000.463  000.463: require('vim.filetype.detect')
109.703  000.124  000.124: require('editorconfig')
110.417  000.108  000.108: require('luasnip.util.directed_graph')
